Title,Year,Rated,Month_Release,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Ratings,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Song at Midnight,1937,Not Rated,,113,"Horror, Romance",Weibang Ma-Xu,"Menghe Gu, Ping Hu, Shan Jin, Chau-Shui Yee","China's first horror film, this is loosely based on The Phantom of the Opera. A disfigured musical genius roams a traditional Chinese opera house, punishing those who offend him.",Mandarin,China,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",6.3,626,tt0206442,N/A,N/A
Pépé le Moko,1937,Not Rated,Mar,94,"Crime, Drama, Romance",Julien Duvivier,"Jean Gabin, Gabriel Gabrio, Saturnin Fabre, Fernand Charpin","A wanted gangster is both king and prisoner of the Casbah. He is protected from arrest by his friends, but is torn by his desire for freedom outside. A visiting Parisian beauty may just tempt his fate.","French, Arabic",France,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '98/100'}]",7.7,5902,tt0029453,N/A,N/A
Snow White and the Seven Dwarfs,1937,Approved,Feb,83,"Animation, Family, Fantasy, Musical, Romance","William Cottrell, David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen","Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",English,USA,Nominated for 1 Oscar. Another 11 wins & 5 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Metacritic', 'Value': '95/100'}]",7.6,179215,tt0029583,N/A,N/A
Stella Dallas,1937,Approved,Aug,106,"Drama, Romance",King Vidor,"Barbara Stanwyck, John Boles, Anne Shirley, Barbara O'Neil",A working-class woman is willing to do whatever it takes to give her daughter a socially promising future.,English,USA,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",7.4,4413,tt0029608,N/A,Samuel Goldwyn Company
The Adventures of Robin Hood,1938,PG,May,102,"Action, Adventure, Romance","Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",English,USA,Won 3 Oscars. Another 3 wins & 2 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",7.9,46546,tt0029843,N/A,"Warner Brothers, First National Pictures"
Angels with Dirty Faces,1938,Passed,Nov,97,"Crime, Drama, Film-Noir, Thriller",Michael Curtiz,"James Cagney, Pat O'Brien, Humphrey Bogart, Ann Sheridan",A priest tries to stop a gangster from corrupting a group of street kids.,English,USA,Nominated for 3 Oscars. Another 2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.9,19531,tt0029870,N/A,First National Pictures
The Baker's Wife,1938,Not Rated,Feb,133,"Comedy, Drama",Marcel Pagnol,"Raimu, Ginette Leclerc, Fernand Charpin, Robert Vattier","A small village rejoices at the arrival of a new baker. But when his young wife runs off with another man, he is unable to keep baking and the village is thrown into disarray.",French,France,3 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",7.5,1415,tt0030127,N/A,N/A
Bringing Up Baby,1938,Passed,Feb,102,"Comedy, Family, Romance",Howard Hawks,"Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",English,USA,2 wins.,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",7.9,54099,tt0029947,N/A,RKO Radio Pictures Inc.
Jezebel,1938,Approved,Mar,104,"Drama, Romance",William Wyler,"Bette Davis, Henry Fonda, George Brent, Margaret Lindsay","In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back.","English, French",USA,Won 2 Oscars. Another 3 wins & 4 nominations.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",7.5,11719,tt0030287,N/A,Warner Bros.
The Lady Vanishes,1938,Not Rated,Nov,96,"Mystery, Thriller",Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","English, German, French, Italian",UK,1 win & 1 nomination.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",7.8,46746,tt0030341,N/A,Gainsborough Pictures
